School ID,NAME_OF_SCHOOL,HEALTHY_SCHOOL_CERTIFIED,SAFETY_SCORE,COLLEGE_ENROLLMENT,COMMUNITY_AREA_NUMBER,COMMUNITY_AREA_NAME
610353,Calmeca Academy of Fine Arts and Dual Language,Yes,58,792,58,BRIGHTON PARK
609729,Carl Schurz High School,No,48,2366,16,IRVING PARK
610039,Carl von Linne Elementary School,No,68,644,21,AVONDALE
610238,Carrie Jacobs Bond Elementary School,No,54,343,68,ENGLEWOOD
609839,Carroll-Rosenwald Specialty Elementary School,No,35,537,70,ASHBURN
610345,Carter G Woodson South Elementary School,No,26,329,38,GRAND BOULEVARD
610148,Cesar E Chavez Multicultural Academic Center Elementary School,No,54,915,61,NEW CITY
609679,Charles Allen Prosser Career Academy High School,No,59,1415,19,BELMONT CRAGIN
610005,Charles Evans Hughes Elementary School,No,42,315,29,NORTH LAWNDALE
609879,Charles Gates Dawes Elementary School,No,44,1032,70,ASHBURN
609966,Charles G Hammond Elementary School,No,40,446,30,SOUTH LAWNDALE
610366,Charles H Wacker Elementary School,No,32,246,73,WASHINGTON HEIGHTS
610030,Charles Kozminski Elementary Community Academy,No,36,403,41,HYDE PARK
609996,Charles N Holden Elementary School,No,53,600,60,BRIDGEPORT
609833,Charles P Caldwell Academy of Math & Science Elementary School,No,25,291,45,AVALON PARK
609732,Charles P Steinmetz Academic Centre High School,No,26,1890,19,BELMONT CRAGIN
609875,Charles R Darwin Elementary School,No,58,622,22,LOGAN SQUARE
609986,Charles R Henderson Elementary School,No,16,407,67,WEST ENGLEWOOD
609813,Charles S Brownell Elementary School,No,20,310,69,GREATER GRAND CROSSING
609883,Charles S Deneen Elementary School,No,55,551,69,GREATER GRAND CROSSING
610194,Charles Sumner  Math & Science Community Acad Elementary School,No,41,430,26,WEST GARFIELD PARK
609897,Charles W Earle Elementary School,No,24,331,67,WEST ENGLEWOOD
610248,Chicago Academy Elementary School,No,66,601,17,DUNNING
610340,Chicago Academy High School,No,58,502,17,DUNNING
609753,Chicago High School for Agricultural Sciences,No,87,579,74,MOUNT GREENWOOD
609754,Chicago Military Academy High School,No,32,483,35,DOUGLAS
609674,Chicago Vocational Career Academy High School,No,27,833,45,AVALON PARK
609899,Christian Ebinger Elementary School,No,78,650,9,EDISON PARK
609705,Christian Fenger Academy High School,No,36,688,49,ROSELAND
609863,Christopher Columbus Elementary School,No,66,309,24,WEST TOWN
609790,Clara Barton Elementary School,No,25,602,71,AUBURN GRESHAM
610347,Claremont Academy Elementary School,No,36,531,66,CHICAGO LAWN
610499,Collins Academy High School,No,60,409,29,NORTH LAWNDALE
610170,Columbia Explorers Elementary Academy,No,59,1038,58,BRIGHTON PARK
610004,Countee Cullen Elementary School,No,14,233,49,ROSELAND
609781,Crispus Attucks Elementary School,No,45,274,38,GRAND BOULEVARD
609873,Crown Community Academy of Fine Arts Center Elementary School,No,27,298,29,NORTH LAWNDALE
610063,Cyrus H McCormick Elementary School,Yes,,894,30,SOUTH LAWNDALE
609804,Daniel Boone Elementary School,No,52,752,2,WEST RIDGE
610083,Daniel C Beard Elementary School,No,,160,10,NORWOOD PARK
610380,Daniel Hale Williams Prep School of Medicine,No,50,324,38,GRAND BOULEVARD
609870,Daniel J Corkery Elementary School,No,39,631,30,SOUTH LAWNDALE
609835,Daniel R Cameron Elementary School,No,42,828,23,HUMBOLDT PARK
610223,Daniel S Wentworth Elementary School,No,30,365,68,ENGLEWOOD
610221,Daniel Webster Elementary School,No,48,370,26,WEST GARFIELD PARK
609704,David G Farragut Career Academy High School,No,43,1456,30,SOUTH LAWNDALE
610402,DeVry University Advantage Academy High School,No,,200,5,NORTH CENTER
609885,Dewey Elementary Academy of Fine Arts,No,41,357,61,NEW CITY
609859,DeWitt Clinton Elementary School,No,47,1139,2,WEST RIDGE
610515,Disney II Magnet School,No,,363,16,IRVING PARK
610077,Donald Morrill Math & Science Elementary School,No,28,823,66,CHICAGO LAWN
610198,Douglas Taylor Elementary School,No,34,632,52,EAST SIDE
610533,Dr Jorge Prieto Math and Science,No,,1001,19,BELMONT CRAGIN
609751,Dr  Martin Luther King  Jr  College Prep High School,No,,915,39,KENWOOD
610266,Dumas Technology Academy,No,19,381,42,WOODLAWN
610188,Dunne Technology Academy,No,46,310,49,ROSELAND
610352,Durkin Park Elementary School,No,61,543,70,ASHBURN
610254,Dvorak Technology Academy,No,46,556,29,NORTH LAWNDALE
609736,Dyett High School,No,27,318,40,WASHINGTON PARK
610132,Edgar Allan Poe Elementary Classical School,No,99,192,50,PULLMAN
609901,Edgebrook Elementary School,No,99,468,12,FOREST GLEN
610523,Edison Park Elementary School,No,95,431,10,NORWOOD PARK
609819,Edmond Burke Elementary School,No,1,244,40,WASHINGTON PARK
609815,Edward A Bouchet Math & Science Academy Elementary School,No,33,783,43,SOUTH SHORE
610246,Edward Beasley Elementary Magnet Academic Center,No,47,1365,40,WASHINGTON PARK
609881,Edward C Delano Elementary School,No,38,414,26,WEST GARFIELD PARK
609862,Edward Coles Elementary Language Academy,No,22,554,46,SOUTH CHICAGO
609909,Edward Everett Elementary School,No,,321,59,MCKINLEY PARK
610012,Edward Jenner Elementary Academy of the Arts,No,50,314,8,NEAR NORTH SIDE
609904,Edward K Ellington Elementary School,No,30,377,25,AUSTIN
610006,Edward N Hurley Elementary School,No,77,830,65,WEST LAWN
609735,Edward Tilden Career Community Academy High School,No,34,461,61,NEW CITY
610315,Edward White Elementary Career Academy,No,27,138,53,WEST PULLMAN
609708,Edwin G Foreman High School,No,26,1716,15,PORTAGE PARK
609913,Elaine O Goodlow Elementary Magnet School,No,44,419,67,WEST ENGLEWOOD
610233,Elihu Yale Elementary School,No,29,182,69,GREATER GRAND CROSSING
610227,Eli Whitney Elementary School,Yes,44,1133,30,SOUTH LAWNDALE
610195,Elizabeth H Sutherland Elementary School,No,86,762,72,BEVERLY
610119,Elizabeth Peabody Elementary School,No,51,289,24,WEST TOWN
609852,Eliza Chappell Elementary School,No,70,451,4,LINCOLN SQUARE
610235,Ella Flagg Young Elementary School,No,31,1111,25,AUSTIN
609682,Ellen H Richards Career Academy High School,No,30,473,61,NEW CITY
610073,Ellen Mitchell Elementary School,No,99,344,24,WEST TOWN
609712,Emil G Hirsch Metropolitan High School,No,13,458,69,GREATER GRAND CROSSING
609973,Emiliano Zapata Elementary Academy,No,60,988,30,SOUTH LAWNDALE
610065,Emmett Louis Till Math and Science Academy,No,31,471,42,WOODLAWN
609916,Enrico Fermi Elementary School,No,30,238,43,SOUTH SHORE
610203,Enrico Tonti Elementary School,No,,1021,63,GAGE PARK
610543,Eric Solorio Academy High School,No,67,581,63,GAGE PARK
610137,Ernst Prussing Elementary School,No,71,672,15,PORTAGE PARK
609908,Esmond Elementary School,No,36,342,75,MORGAN PARK
609918,Eugene Field Elementary School,No,42,375,1,ROGERS PARK
609874,Everett McKinley Dirksen Elementary School,No,44,786,76,OHARE
610319,Evergreen Academy Middle School,No,60,389,59,MCKINLEY PARK
610057,Fairfield Elementary Academy,No,31,604,66,CHICAGO LAWN
610541,Federico Garcia Lorca Elementary School,No,53,860,21,AVONDALE
610308,Wilma Rudolph Elementary Learning Center,No,,100,28,NEAR WEST SIDE
610120,Ferdinand Peck Elementary School,No,51,1560,62,WEST ELSDON
609917,Fernwood Elementary School,No,29,344,73,WASHINGTON HEIGHTS
610258,Florence B Price Elementary School,No,20,112,39,KENWOOD
610096,Florence Nightingale Elementary School,No,35,1382,63,GAGE PARK
609924,Fort Dearborn Elementary School,No,34,478,73,WASHINGTON HEIGHTS
609927,Foster Park Elementary School,No,11,418,71,AUBURN GRESHAM
610215,Francisco I Madero Middle School,Yes,49,314,30,SOUTH LAWNDALE
610067,Francis M McKay Elementary School,No,23,891,66,CHICAGO LAWN
610114,Francis Parkman Elementary School,No,38,224,37,FULLER PARK
610020,Francis Scott Key Elementary School,No,37,301,25,AUSTIN
610112,Francis W Parker Elementary Community Academy,No,30,808,68,ENGLEWOOD
609800,Frank I Bennett Elementary School,No,46,504,49,ROSELAND
609939,Frank L Gillespie Elementary School,No,27,609,49,ROSELAND
609926,Franklin Elementary Fine Arts Center,No,87,363,8,NEAR NORTH SIDE
609958,Frank W Gunsaulus Elementary Scholastic Academy,No,46,867,58,BRIGHTON PARK
610144,Frank W Reilly Elementary School,No,48,1195,21,AVONDALE
610165,Franz Peter Schubert Elementary School,No,,949,19,BELMONT CRAGIN
610503,Frazier Prospective IB Magnet Elementary School,No,60,220,29,NORTH LAWNDALE
609854,Frederic Chopin Elementary School,No,86,269,24,WEST TOWN
610245,Frederick A Douglass Academy High School,No,44,354,25,AUSTIN
609930,Frederick Funston Elementary School,No,16,619,22,LOGAN SQUARE
610163,Frederick Stock Elementary School,No,,260,9,EDISON PARK
610010,Friedrich Ludwig Jahn Elementary School,No,72,495,5,NORTH CENTER
609737,Friedrich W von Steuben Metropolitan Science High School,No,70,1636,13,NORTH PARK
609709,Gage Park High School,No,14,1052,63,GAGE PARK
